"_unit_id","_golden","_unit_state","_trusted_judgments","_last_judgment_at","birthplace","birthplace:confidence","date_of_birth","date_of_birth:confidence","race_ethnicity","race_ethnicity:confidence","religion","religion:confidence","sexual_orientation","sexual_orientation:confidence"
670454398,"FALSE","finalized",3,"2/10/15 2:11","Chicago, Il",1,"29-Aug-35",1,"White",1,"Jewish",1,"Straight",1
670454399,"FALSE","finalized",3,"2/10/15 1:51","Chicago, Il",1,"23-Jun-27",1,"White",1,"Na",1,"Straight",1
670454400,"FALSE","finalized",3,"2/10/15 2:05","Minneapolis, Mn",1,"20-Dec-21",1,"White",1,"Na",1,"Straight",1
670454401,"FALSE","finalized",3,"2/10/15 2:15","Detroit, Mi",1,"7-Apr-39",1,"White",1,"Na",1,"Straight",1
670454402,"FALSE","finalized",3,"2/10/15 1:59","CÃ¡slav, Czechoslovakia",1,"18-Feb-32",1,"White",1,"Na",1,"Straight",1
670454403,"FALSE","finalized",3,"2/10/15 2:06","Oak Park, Il",1,"21-Dec-35",1,"White",1,"Na",1,"Straight",1
670454404,"FALSE","finalized",3,"2/10/15 2:14","Brooklyn, Ny",1,"1-Dec-35",1,"White",1,"Jewish",1,"Straight",1
670454405,"TRUE","golden",75,,"New York City",1,"3-Feb-39",0.9597,"White",1,"Na",1,"Straight",1
670454406,"FALSE","finalized",3,"2/10/15 4:02","Waxahachie, Tx",1,"29-Sep-32",1,"White",1,"Na",1,"Straight",1
670454407,"FALSE","finalized",3,"2/10/15 4:07","Santa Monica, Ca",1,"18-Aug-1936 [1]",0.6562,"White",1,"Na",1,"Straight",1
670454408,"FALSE","finalized",3,"2/10/15 1:43","Richmond, Va",1,"30-Mar-37",1,"White",1,"Baptist",1,"Straight",1
670454409,"FALSE","finalized",3,"2/10/15 2:00","Cambridge, England",1,"29-Aug-23",1,"White",1,"Na",1,"Straight",1
670454410,"FALSE","finalized",3,"2/10/15 2:12","North Bergen, Nj",1,"9-May-40",1,"White",1,"Na",1,"Straight",1
670454411,"FALSE","finalized",3,"2/10/15 2:12","CÃ¡slav, Czechoslovakia",1,"18-Feb-32",1,"White",1,"Na",1,"Straight",1
670454412,"FALSE","finalized",3,"2/10/15 1:52","Lafayette, In",1,"1-Jul-34",1,"White",1,"Jewish",1,"Straight",1
670454413,"FALSE","finalized",3,"2/10/15 2:18","New York City",1,"15-Sep-46",1,"White",1,"Atheist",1,"Straight",1
